bit_length,prime,test_name,is_smooth,description,algorithm,time_seconds,result,status,memory_estimate
18,208111,Random (18-bit),True,Random 18-bit smooth,Baby-step Giant-step,0.0002813999308273196,28727,PASSED,12796
18,208111,Random (18-bit),True,Random 18-bit smooth,Pollard's Rho,0.0006456999108195305,28727,PASSED,1000
18,208111,Random (18-bit),True,Random 18-bit smooth,Pohlig-Hellman,0.0007208000170066953,28727,PASSED,1000
22,3035029,Random (22-bit),True,Random 22-bit smooth,Brute Force,0.6335997999412939,662603,PASSED,1000
22,3035029,Random (22-bit),True,Random 22-bit smooth,Baby-step Giant-step,0.0014851000159978867,662603,PASSED,48804
22,3035029,Random (22-bit),True,Random 22-bit smooth,Pollard's Rho,0.0014961999841034412,662603,PASSED,1000
22,3035029,Random (22-bit),True,Random 22-bit smooth,Pohlig-Hellman,0.1381626999936998,662603,PASSED,1000
26,42752597,Random (26-bit),True,Random 26-bit smooth,Brute Force,30.904346499941312,29081131,PASSED,1000
26,42752597,Random (26-bit),True,Random 26-bit smooth,Baby-step Giant-step,0.0038590000476688147,29081131,PASSED,183092
26,42752597,Random (26-bit),True,Random 26-bit smooth,Pollard's Rho,0.006068899994716048,29081131,PASSED,1000
26,42752597,Random (26-bit),True,Random 26-bit smooth,Pohlig-Hellman,0.0012440999271348119,29081131,PASSED,1000
30,927352267,Random (30-bit),True,Random 30-bit smooth,Brute Force,,,SKIPPED,
30,927352267,Random (30-bit),True,Random 30-bit smooth,Baby-step Giant-step,0.024997000000439584,2045770,PASSED,852684
30,927352267,Random (30-bit),True,Random 30-bit smooth,Pollard's Rho,0.04128360003232956,2045770,PASSED,1000
30,927352267,Random (30-bit),True,Random 30-bit smooth,Pohlig-Hellman,0.012049600016325712,2045770,PASSED,1000
34,8620835429,Random (34-bit),True,Random 34-bit smooth,Brute Force,,,SKIPPED,
34,8620835429,Random (34-bit),True,Random 34-bit smooth,Baby-step Giant-step,0.15042770002037287,7666590570,PASSED,2599772
34,8620835429,Random (34-bit),True,Random 34-bit smooth,Pollard's Rho,0.02501079998910427,7666590570,PASSED,1000
34,8620835429,Random (34-bit),True,Random 34-bit smooth,Pohlig-Hellman,0.21462970005813986,7666590570,PASSED,1000
